ruta,etiqueta
anger\aug_4149_original.jpg,anger
anger\aug_4149_bright.jpg,anger
anger\aug_4149_dim.jpg,anger
anger\aug_4149_dark.jpg,anger
anger\aug_4150_original.jpg,anger
anger\aug_4150_bright.jpg,anger
anger\aug_4150_dim.jpg,anger
anger\aug_4150_dark.jpg,anger
anger\aug_4151_original.jpg,anger
anger\aug_4151_bright.jpg,anger
anger\aug_4151_dim.jpg,anger
anger\aug_4151_dark.jpg,anger
anger\aug_4152_original.jpg,anger
anger\aug_4152_bright.jpg,anger
anger\aug_4152_dim.jpg,anger
anger\aug_4152_dark.jpg,anger
anger\aug_4153_original.jpg,anger
anger\aug_4153_bright.jpg,anger
anger\aug_4153_dim.jpg,anger
anger\aug_4153_dark.jpg,anger
anger\aug_4154_original.jpg,anger
anger\aug_4154_bright.jpg,anger
anger\aug_4154_dim.jpg,anger
anger\aug_4154_dark.jpg,anger
anger\aug_4155_original.jpg,anger
anger\aug_4155_bright.jpg,anger
anger\aug_4155_dim.jpg,anger
anger\aug_4155_dark.jpg,anger
anger\aug_4156_original.jpg,anger
anger\aug_4156_bright.jpg,anger
anger\aug_4156_dim.jpg,anger
anger\aug_4156_dark.jpg,anger
anger\aug_4157_original.jpg,anger
anger\aug_4157_bright.jpg,anger
anger\aug_4157_dim.jpg,anger
anger\aug_4157_dark.jpg,anger
anger\aug_4159_original.jpg,anger
anger\aug_4159_bright.jpg,anger
anger\aug_4159_dim.jpg,anger
anger\aug_4159_dark.jpg,anger
anger\aug_4160_original.jpg,anger
anger\aug_4160_bright.jpg,anger
anger\aug_4160_dim.jpg,anger
anger\aug_4160_dark.jpg,anger
anger\aug_4161_original.jpg,anger
anger\aug_4161_bright.jpg,anger
anger\aug_4161_dim.jpg,anger
anger\aug_4161_dark.jpg,anger
anger\aug_4162_original.jpg,anger
anger\aug_4162_bright.jpg,anger
anger\aug_4162_dim.jpg,anger
anger\aug_4162_dark.jpg,anger
anger\aug_4164_original.jpg,anger
anger\aug_4164_bright.jpg,anger
anger\aug_4164_dim.jpg,anger
anger\aug_4164_dark.jpg,anger
anger\aug_4165_original.jpg,anger
anger\aug_4165_bright.jpg,anger
anger\aug_4165_dim.jpg,anger
anger\aug_4165_dark.jpg,anger
anger\aug_4166_original.jpg,anger
anger\aug_4166_bright.jpg,anger
anger\aug_4166_dim.jpg,anger
anger\aug_4166_dark.jpg,anger
anger\aug_4167_original.jpg,anger
anger\aug_4167_bright.jpg,anger
anger\aug_4167_dim.jpg,anger
anger\aug_4167_dark.jpg,anger
